Yorum;Kategori
KARIÞIK BÝR YAPISI VAR VE AÐIR ÇALIÞIYOR MESRLA BANA OARA GÖNDEREN BÝRÝNÝN ÝBAN NUMARASINI ÇO ZOR BULDUM. AYRICA ÞÝFREYÝ UNUTMAK HELEDE KÝTLEYÝNCE BÝTTÝK TEKRAR AÇANA KADAR SÝNÝR ASAP KALMIYOR. MOBÝL UYGULAMADAN ACEKE ÝÞLEM YAPMAK TAM BÝR EZÝYET. KESÝNLÝKLE KATILIM BANKALARINI TERCÝH EDERÝM AMA ALABAKATÜRKÜ TERCÝH ETMEM BUNUN ÝÇÝN HESABIMI SIFIRLADIM. YILDA BÝR VEYA ÝKÝ KEZ LAZIM OLSUÐU ÝÇÝN MECBUREN UYGULAMASINI SÝLMEDÝM. KESÝNLÝKLE HÝÇ KÝMSEYE TAVSÝYE ETMEM BÝRAZ RAKÝPLERÝNÝZE BAKIN;Kullanýþsýz
Mobil þube cok geç iþliyor, sistem daha iyi hale getirilebilir. Bu þekilde devam ederse hesabýmý kapatmayý düþünüyorum.;Yavaþ
Ýyi deðil uyðulama;Kullanýþsýz
Dövizle kýymetli maden alým satýmý yaparak para kazanýyorduk, saðolsun devletimiz ve sizin döviz ile kýymetli maden  iþlemi yaptýrmayan uygulamanýz buna engel oldu. En kýsa sürede tüm baðlarýmý koparacaðým.;Kur Marjý
Ýlgisizlik var;Ýlgisizlik
Kurumsal olmayýþýnýz müþteri memnuniyetini gözetmemeniz;Ýlgisizlik
Banka maaþ müþterisiyim ihtiyac halinde yararlanamýyorum;Genel Memnuniyetsizlik
Zorunlu olarak iznim dýþýnda sigorta yapýlýp hesabýmdan para keseliyor.hesapta para tutmaya korkuyorum.o yüzden albarakayý finansman bitene kadar zorunlu kullanýrým diye düþünüyorum.bütün tanýdýklarýma ve görüþtüklerime hiç önermiyorum.kusura bakmayýn.;Sigorta
Ýlk açtýðýmda döviz ve kýymetli maden  marjlar gayet iyiydi ama þimdi  bankanýz ne aldýrýyor nede satiriyor bu. 1 inci 2 cisi ise telefonda bir müþteri temsilcisi ile görüþtüm gümüþum var bankamýzda fizik alým yapmak istiyorum dedim satmaniz lazým dedi fiziki alým yoksa faiz vardir faizin olduðu yeri kimseye tavsiye etmem;Kur Marjý
Ýþlem yapmada ve sonuçlandýrma çok yavaþ;Yavaþ
Çok yavaþ, sorunlu ve iþlevsiz bir mobil þubeniz var. Diðer bankalarýn mobil þubeleri ile kýyaslayýnca çok geride kalýyor. Lütfen bunu düzeltin, sýrf bu sebepten bankamý deðiþtirmeyi düþünmekteyim;Yavaþ
Ben memnun degilim ki tavsiye edeyim;Genel Memnuniyetsizlik
Mobil uygulamanýzdaki döviz makasýný artýrdýnýz.O yüzden kullanmayacaðým;Kur Marjý
Ýþ ahlakýnýz bitmiþ.  O  Personelinizi oradan alýn. Anlamadýysan en yetkili birisi beni arasýn;Personel
Daha çok yol almanýz lazým;Genel Memnuniyetsizlik
"Kaç yýllýk musterinizim yeri geldi hesabýmda yüksek miktarlar oldu iþ için sürekli para çekip yatýrýyorum kar hesabý bile açmadým hatta ticari hesap açmayý düþündüm
Ama nedense kredi baþvurusu olsun kredi kartý baþvurusu olsun hep ret cevabý aldým 
Böyle giderse baþka bankayla çalýþmayý düþünüyorum ...";Kredi
Kesinlikle bir iþime yaramayan banka;Genel Memnuniyetsizlik
Mobil þube çok kullanýþsýz, kuveytin para transfer kýsmý çok rahat , benzer þeyleri tavsiye ederim;Kullanýþsýz
Kur makas farklarý çok fazla;Kur Marjý
Banka, ATM sayýsýnýn yetersiz olmasý;ATM
KOLAYLIK SAÐLAMIYOR MOBÝL ÞUBEYE GÝRÝYORUM ÝÞLEM YAPCAM MOBÝL ÞUBE KAPANIYOR;Çalýþmýyor - Hata Veriyor
"-Uygulama çok hantal, hiç geliþmedi.
-Kolay adres hizmeti bugün olmuþ halen internet þubesine yönlendiriyor.
-Fatura ödemeleri bazen hata veriyor, özellikle Konya Su faturasý sürekli hata veriyor.
-Kullanýcý arayüzü kötü
Ayrýca tüm bankalarýn para transferi için hafta içi mesai saatleri kýsýtlamasýndan vazgeçmeli.";Kullanýþsýz
Ýþlem yapacaðýmiz konuda size ulaþabilmek na mümkün. Mobil bankacýlýk sürekli hata veriyor.;Çaðrý Merkezi
Vasat uygulama sürekli çöküyor.;Çalýþmýyor - Hata Veriyor
Berbat iletiþim;Genel Memnuniyetsizlik
Çok aðýr;Yavaþ
Alba fx niye kapattýnýz açýn;AlbaFX
Giriþlerde çok sorun var ve de geri kendi kendine çýkýþ yapýyor;Çalýþmýyor - Hata Veriyor
Ayýp son günü mobil bankacýlýðýnýz çalýþmadý ve sürekli olan bir durum bu;Çalýþmýyor - Hata Veriyor
Albafx kaldýrýlmasý;AlbaFX
Altin ve döviz alim için alba fx den uygun fiyatli diye müþteriniz olduk ama daha iþlem bile yapmadan kapattiniz. Ne farkýnýz kaldý ki sizi tercih edelim.;AlbaFX
Kullanýcý deneyimi 0;Kullanýþsýz
60 lira kesinti yapmýþ 12 lira kesinti yapmýþ her alýþveriþte;Ücret Alýnmasý
Müþterilere olan hizmetiniz gibi uygulamanýz da berbat. Ýþ yerim sizinle çalýþýyor olmasa kapýnýzýn önünden bile gecmem.;Kullanýþsýz
"Hesap açtýðým gün Alba fx kapandý 
Önceden haber verebilirdiniz
Bu makas aralýklarýyla normal mobil uyðulmanýzdan iþlem yapacaðýmý ve bankanýzý kullanacaðýnýzý zannetmiyorum";AlbaFX
Prosedür ve makas aralýðý;Kur Marjý
Beni maðdur etti;Genel Memnuniyetsizlik
Alim satim marjlariniz abartili kuveyt turk müsterikerine ozel kur tanýmlamýyor;Kur Marjý
Sistemimizde oluþan hatadan dolayý iþlem yapýlamadý hatasý veriyor sürekli olarak 10 iþlemde 3 bile zor gerçekleþiyor;Çalýþmýyor - Hata Veriyor
Hiç bir konuda uzlaþma yok hep zorluk;Genel Memnuniyetsizlik
Birkaç ATM'den para çekmek istedim ama çalýþmýyorlar.;ATM
Alba FX uygulamasýnýn kapatýlmasý ve Albaraka mobildeki makas açýklýðýnýn fazla olmasý sebebiyle;AlbaFX
Kredi kartý baþvurumun çýkmamasý;Kart
Çok aðýr. Çok yavaþ. Ýþlem hýzý çok düþük;Yavaþ
Ya hýc ýyý bý banka degil kredý kartý basvurusu yapýyorum olmuyor ila subeye gýdýcekmýsýz ne alaka ihdýyac kredisi Ýcin basvurýyorum oyle bý kredý yok dýyo sýfýr puaný bile hak etmiyor kac senedir musterýsýyým bide kapatacam bu  bankayý ama;Kart
Havale eft yapamýyorum çok yavaþ;Yavaþ
Ben onceden kuveyt teydim albarakaya gecdim ne internet bankaciligi nede giþe islemlerinde kuveytin yanindan gecemez simdi paramin vadesinin dolmasini bekliyom kuveytldevam  gise islemlerinde bir kuveytten sira al bir albarakadan gorursun;Genel Memnuniyetsizlik
Çok aðýr yavaþ hantal bir kurumsal yapýnýz var insanlarý kendinizden soðutuyor. Biraz bu konuda kendinizi geliþtirmeniz daha doðrusu buna açýk olmanýz gerektiðini düþünüyorum.;Yavaþ
Berbat bir bankanýz var;Genel Memnuniyetsizlik
Bankayý kapatýp gittiniz maðdur ettiniz bizi;Genel Memnuniyetsizlik
Yardýmcý olunmuyor;Ýlgisizlik
MenüÇok karýþýk,renkler berbat,ürün bulamýyorum;Kullanýþsýz
Calismiyor;Çalýþmýyor - Hata Veriyor
Mobil þubeniz yok;Genel Memnuniyetsizlik
Mobil uygulamasý berbart menüleri zor ve açýklayýcý deðil kampanya ve fýrsatlar çok çok az;Kullanýþsýz
"Mobil þb de eft iþlemi dýþýnda hiçbir iþlem yapýlamýyor. Örnek; bagkur ssk ödemeleri
Ayrýca þifre bloke vs gibi iþlemleri almak yenilemek karma karýþýk ve zor";Kullanýþsýz
Sistem çok kötü.pin kodu oluþturulurken sorunlu.;Kullanýþsýz
Çünkü çok saðlýklý çalýþmýyor özellikle onay mesajý;Çalýþmýyor - Hata Veriyor
Özellikle internet bankacýlýðýnýzý deðiþtirme politikasý içine girmelisiniz;Genel Memnuniyetsizlik
Çok geç açýlýyor;Yavaþ
Hiç memnun deðilim kaç yýldýr maaþýmý burdan alýyorum bi kredi kartý dahi vermiyor lar;Kart
Kredi kartý basvurum limit verilmediði için onaylanmiyor hunjnla ilgili talep açtým dönüþ yapýlmadý eðer kart ojaylanacaksa baþka bankada limit düþürmek istiyorum....Bu yüzden bu puan verildi;Kart
Yapmaya çalýþtýðýmýz her iþlemde iþleminizi gerçekleþtiremiyoruz sonra deneyiniz demesine raðmen yine de iþlemi yapýyor ve çift çift taksit ödetmeme sebep oluyor;Çalýþmýyor - Hata Veriyor
EFT ve havalelerde para hesaba geçmiyor;Genel Memnuniyetsizlik
Sürekli Zorluk var  mobil bankacýlýk konusunda hiç memnun deðilim maaþým bankanýza yatmýþ olmasa idi kullanmazdým;Kullanýþsýz
Ýlgisizlik;Ýlgisizlik
Bir hesaba para göndermek istiyorum gönderemiyorum baþka bir banka ile deniyorum otomatik gönderiyor sistemlerde çok yavaþ böyle giderse birçok iþlemi diðer bankalardan yapmak zorunda býrakacaksýnýz;Yavaþ
Çok yavaþ açýyor çok kullanýþlý degil;Yavaþ
Kullanýþlý deðil;Kullanýþsýz
mobil uygulamayý kullanmak zor ve iþlevsel deðil:);Kullanýþsýz
Hizmetler çok kötü ve eksik. Faiz almýyoruz bahanesiyle diðer bankalardan çok daha fazlasýný kesiyorsunuz. Avantajlar yetersiz.;Kullanýþsýz
Kartým 6 ayda gelmedi yanlýþ adres yazmýþsýnýz;Kart
Ýstedigim ilgi ve yardimi alamadimdan olabilir;Ýlgisizlik
Baska bnkalardan kredi kartim ve esnek hesabim olmasina ragmen kredi kartim onaylnmadi;Kart
Mobil þubeye girememe. Geç girme. Donma. Ýþlem yaparken sistem hatasý verme vs;Çalýþmýyor - Hata Veriyor
Mobil bankacýlýkta  altýn  alým satýmýnda  makas  aralýðýný  lütfen  düþürün. Lütfenn;Kur Marjý
Uygulamaya giriþ yaparken çok yavaþ;Yavaþ
Ýlçemizde ne ateþe nede þube mevcut;ATM
Mobil þubeyi kullanmak zor ve hiç anlaþýlýr deðil.;Kullanýþsýz
Hesap kartým 5 aydýr gelmiyor;Kart
Hiçbirzaman, tek denememde iþlemimi yapamýyorum. Mutlaka hata veriyor ve birkac denemede ancak sonuca ulasabiliyorum.;Çalýþmýyor - Hata Veriyor
Size ulaþmak zor kýredi kullanacaðýmýz zaman müþteri danýþmaný sanki kendi parasýný veriyor gibi bi tavrý var az birþey sicilimiz bozuk diye tenezzül etmeyen arekenleri var dönüþler ulaþmak zor;Kredi
Döviz emtia arbitraj izni yok.;Fonksiyon Eksikliði
Çok karýþýk;Kullanýþsýz
Kalitesiz;Kullanýþsýz
Alba FX uygulamasý;AlbaFX
Uygulama sürekli donuyor ve hata veriyor;Çalýþmýyor - Hata Veriyor
Þubelerinizi taþýdýnýz .manavgattaki / Atemeleriniz yok.;Þube
Insanlarý kandiyorsunuz;Genel Memnuniyetsizlik
Banka makaslari. Ýçerideki ürünümü taþýyarak  hesabý kapatacagim;Kur Marjý
Bir Efete yapýcam iki saat uðraþýyorum önceden böyle problemler yapmýyordu 2 aydýr baþladý bu konu Ýçin þubeye gittim sistemsel arýza var diyor giþede iþlem ücretli bunu erkenden çözmeniz gerekiyor soradan yapabildim ama geç oldu satýþta beklediler;Çalýþmýyor - Hata Veriyor
Uygulama çok aðýr iþliyor geç açýl3;Yavaþ
Aþýrý yavaþ;Yavaþ
Ýnternet bankacýlýðý konusunda, geciken mobil mesajlar, internet bankacýlýðý alt yapýsýnda ki problemler;Mobil
Vade tarihi geldiðinde döviz endeksli ortak hesabýmý maalesef ayný þekilde ne otomatik ne de mobil þube gerçekleþtiremedik. Mecburen annem yaþlý ve oruç haliyle  þubeye gitti. Halbuki baþka katýlým bankasýnda bunu gerçekleþtire bildik.;Kur Korumalý Vade Yenileme
Kredi kartý talep eden çalýþan, Türk olmayanlara yasak olduðunu söyledi.;Kart
Çözüm odaklý degilsiniz;Ýlgisizlik
kötü muamele Þubelerdeki müþteriler için;Þube
Sistem çok yavaþ çalýþýyor.;Yavaþ
Ben bankaniza ilk defa müþteri oldum ama mubarek tefeci gibisiniz makas araliginiz çok yüksek altin olarak teslim almak istesem gram baþý para talebiniz var saçma  yani;Kur Marjý
Kredi kartý baþvurusu yapamýyorum, kredi baþvurularýn hiç biri onaylanmýyor kuveyttürkten onaylanýyor, sistem bana çalýþmýyor . Yaramaz hizmet;Kart
Kargo geldmadi;Kart
Çok kötü ayrýca kur bilgilerini uygulamaya girmeden görmek gerekli;Kullanýþsýz
"Mobil bankacýlýkta verimli deðil kopukluk oluyor þifre doðru giriliyor kabul etmiyor 
Kaç yýldýr çalýþýyorum bankayla hiç bir getirisi olmadý memnun deðilim sadece hoþuma giden EFT ve havale ücreti almamasý";Çalýþmýyor - Hata Veriyor
Müþteri hizmetleri çok yetersiz;Çaðrý Merkezi
Önerilerimizi hizmet akýþýný daha iyi olmasý için öneri ve yorumlarýnýz oldu 5 yýldýr hiçbir ilerleme yok o sebep hesabýmý 2.hesap olarak kullanýyorum bir kart bile alamadým bir þahýs firmasýnýn hiçbir sýkýntým yok ödemeler vesair;Kart
Ýþlemciliði çok yavaþ hata veriyor zor açýlýyor;Yavaþ
Ýnternet bankacýlýðý çok karýþik;Kullanýþsýz
Diðer bankalardaki kolaylýk sizde yok;Kullanýþsýz
Ýnternet bankacýlýðý ve ATM hizmeti çok kötü düzeltilmesi gerekli hesabý baþka bir bankaya çekmeyi bile düþünüyorum bu durumdan dolayý;Kullanýþsýz
Mobil kullanýmýnýz zor Emir veremiyorum;Kullanýþsýz
Hiç bir hizmetiniz yok ödeme kaynalarýnýzda ve   kartlarýnýzla ilgili þikayeyim var  temassýz kart özlelliðiniz yok;Fonksiyon Eksikliði
Þubedeki iþlemlerin uzun sürmesi;Þube
Mobil bankacýlýk çok yavaþ hýzlý eriþim yok;Yavaþ
Mobil uygulamanýzýn arayüzü çok kötü;Kullanýþsýz
Çok aðýr açýlýyor ve bazen girilmiyor;Yavaþ
Kredi kartý ile ilgili iþlemleri yapamýyorum. NFC özelliði tanýmlayamýyorum;Fonksiyon Eksikliði
Farklý hesaba para gönderirken dondu ve baþka bankadan yine para gönderdim. Ama iki hesaptanda para gitti.;Çalýþmýyor - Hata Veriyor
Sistem çok aðýr çalýþýyor. Elemanlar çok geç dönüþ yapýyor.iþi savsaklama için harcadýklarý zamaný ve enerjiyi yapmak ve yardýmcý olmak için harcasal proplem çözülür;Yavaþ
Þöyleki sabah çok acil bir þekilde para transferi yapmam gerekiyordu heryerden ATM niz olmadýðý için baþka banka transfer edip oradan para çekmem gerekti açmak transfer iþlemi nerdeyse 1 saat sürdü ve bu beni aksattý;ATM
Bitlisteki þube kapandý PTT atmleri yoðunluktan dolayý sürekli arýzalý oluyor;ATM
Düþük hizmet ve müþteri iliþkileri yok;Çaðrý Merkezi
"Ýos / 12 pro max kullanýyorum.
Uygulama çok çöküyor, takýlýyor.
Giriþ yaparken %10 ihtimalle takýlýyor. Yine girerken açýlmasý zaman alýyor. Zaman zaman 4 5  aþama ilerledikten sonra þuanda bu iþlem gerçekleþtirilemiyor diyor. 
Kanser ediyor.
Müþteri deneyimini zayýf buluyorum.
Önceden daha kötüydü þuan daha iyi ama takiplerine göre geride kalýyor.
Ýþ bankasý, akbank hatta ziraatte dahi bu sýkýntýlarý yaþamýyorum. 
Yqoanlarýn eline saðlýk ama geliþtrilmesi gereken çok þey var";Çalýþmýyor - Hata Veriyor
Sistem çok sýk hata veriyor;Çalýþmýyor - Hata Veriyor
Bankalar arasý hesap havale de sorun yaþamam;Çalýþmýyor - Hata Veriyor
Altýn hesapý için çok arkadaþlarýma tavsiyede bulundum az miktarda para kesintisi oluyor dedim lakin þimdi arkadaþlardan þikayet alýyorum kesinti çok yapýlýyor diye tanýdýklarýma tavsiye ettim diye çok mahcup oldum;Ücret Alýnmasý
Uygulama çok yavaþ ilk girislerde sürekli atýyor surekli þifre girmem gerekiyor;Yavaþ
Doviz ve altin alim satiminda makas fazla;Kur Marjý
Eft islemlerinde karsi tarafin ibanini girdigimizde alici ismi direk cikmiyor kendimiz yaziyoruz defalarca ibani kontrol et zaman kaybi direk ciksa kontrolede gerek kalmayacak diger bankalarda alici ismi cikiyor  ve uygulama kasma yapiyor genelde bu sorunlardan dolayi memnun degilim.Saygilarimla;Fonksiyon Eksikliði
Mobil Þube çok kasýyor,  sistemlerinizi hýzlandýrmaniz gerekiyor,  ayný cihaz ve fiber internet hýzýyla tüm banka uygulamalarý hýzlý kullanýlabilirken albaraka her isleme tiklama da gec yanýt veriyor, gec açýlýyor sifre girme ekrani bile;Yavaþ
Kredi kartý istiyorum diye müþteri temsilcisini aradým þubeye git dedi þubeye gittim 16 30 da kapýdaki güvenlik sordu ne iþleminiz var diye kredi kartý baþvurusu için geldim dedim o uzun sürer dedi baþvuru enaz 45 dakika sürer  bugun yetiþmez dedikapodan geri çevirdi;Kart
Çok kullanýþlý deðil;Kullanýþsýz
Çok kötü bir dönem geçiriyoruz. Siz bankalar hariç kârýnýza kâr katýyor makasý en üst seviyede açmýþsýn ýz en kýsa zamanda size ve diðer bankalarla mevduat hesabý tutmayacaðim artýk serbest piyasada ve fiziki altýn ve gümüþ al sat yapacaðým;Kur Marjý
Makas araliklari;Kur Marjý
Her iþlem yaptýðýmda þu anda iþleminizi gerçekleþtiremiyoruz deniyor.;Çalýþmýyor - Hata Veriyor
"Ýþlem çok zaman alýyor
Yetersiz görevliðiniz vardýr";Yavaþ
Alýþ satýþ emri verilemiyor piyasa hareketlendiðinde uygulama açýlamýyor. Makas aralýklarý diðer bankalara göre fazla;Çalýþmýyor - Hata Veriyor
Çoðu hizmeti sunuyorsunuz;Fonksiyon Eksikliði
karekod uygulamalarý çoðu zaman çalýþmýyor telefon uygulamasý  çok yavaþ;Çalýþmýyor - Hata Veriyor
Mobil bankacýlýk sisteminiz çok yavaþ calýþoyor;Yavaþ
Çok yavaþ çalýþýyor ve baþarýsýz buluyorum. Maaþ hesabým olmasaydý kullanmayacaðým bir banka.;Yavaþ
Sistemde gereksiz çok fazla güvenlik adýmý olduðunu düþünüyorum;Aþýrý Güvenlik
Bir keresinde cok yavaþ ve durmadan baþa atma yani uygulamanýn stabil çalýþmama durumu moral bozucu sadece sevdiðim tek özelliðiniz kur fiyatlarýnýn piyasaya göre iyi oluþu artý bir þey daha soyliyeyim ortak atm sayýsýný arttýrmanýn galiba yok diye biliyorum saygýlarýmla eleþtirimi sizin daha kaliteli bir bankacýlýk için yaptýðýmý unutmayýn saygýlarýmla;Yavaþ
iþlem sekmelerinin bir resimle desteklenmesi;Kullanýþsýz
Ýnt. Bankacýlýðý sistemi  para transferi ve yatýrým iþlemleri karýþýk;Kullanýþsýz
MOBÝL ÞUBEYE GÝRÝÞ ÇOK AÐIR;Yavaþ
Bazý iþlemlerin olmamasý, döviz ve kýymetli madenlerde kur makasýnýn fazla olmasý;Kur Marjý
Hiç bir aktivitesi yok;Fonksiyon Eksikliði
Eksik hizmet;Fonksiyon Eksikliði
Ýþlem yapmak diðer bankalarýn çok gerisinde;Kullanýþsýz
Uygulamaniz cok yavaþ  emtiya  fiyatlarindaki makas araligi  cok yuksek ve parite islemleri cogu para birimlerinde  yoktur platin poladyum islemleriniz yok albafx uygulamaniz iptal olmustur  tsk;Yavaþ
Eft kesinti ücreti alýnmamasý dýþýnda bir avantajý yok;Genel Memnuniyetsizlik
Mobil þubeniz çok oyalayýcý ve 8þlemler çok yavaþ;Yavaþ
Eksiklikler var daha önce de belirtmiþtim;Fonksiyon Eksikliði
Çok uðraþtýrýyor;Kullanýþsýz
Para transfer kýsmýnda zorluklar yaþýyorum;Kullanýþsýz
Sistem çok karmaþýk giren çýkamýyor EFT bazen hiç gitmiyor müþteri hizmetlerine ulaþmak çok zor derdini anlatmak imkansýz. Top gibi ordan oraya baðlýyorlar sonunda býkýp telefonu kapatýyorsun. Bize sormanýza gerek varmý siz arayý anlarsýnýz.;Kullanýþsýz
kayýtlý adreslelere Fast yapýlmayan tek banka albaraka;Fonksiyon Eksikliði
Döviz kurlarýndaki rekabetçi olmayan makaslar, çoðu bankalarda makas aralýðý daha düþük;Kur Marjý
Ýnternet bankaciluginiz çok sorunlu;Çalýþmýyor - Hata Veriyor
Siteniz oldukça kullanýþsýz ve yavaþ, zaman zaman kopuyor, en son geçen hafta baþka bankaya eft yapýyorum iþlemini gerçekleþtiremedi diyor birkaç kez deniyorum sonuþ ayný, çýkýp yeden giriyorum iþlem gerçekleþmiþ. Para baþka bankaya gitmiþ fakat bakiyeden düþmemiþ. Gir çýk yapýyorum ayný sonra ne zaman düþtü bilmiyorum. Her giriþimde bir þekilde sinir okuyorum. Siteniz çöp ya siteyi. Bence yazýlýmcý firmanýzý deðiþtirip sitenizi yenilemelisiniz. Garantinin çalýþtýðý firmayý tavsiye ederim;Yavaþ
cok yavas   ve karisik;Yavaþ
Yetersiz ve devamlý sorun var;Çalýþmýyor - Hata Veriyor
Döviz kur majý  havel yaptým kiþileri tek tek aramaya çalýþmamam;Kur Marjý
Yavaþ, sisteme girerken devamlý sorun yaþanýyor, hizmetler sýnýrlý;Yavaþ
Uygulama çok yavaþ;Yavaþ
Size güvenmek istiyoruz;Genel Memnuniyetsizlik
Hafta sonu ücret talep ediyorsunuz;Ücret Alýnmasý
Yapý Kredi’nin veya Garanti Bankasý’nýn mobil þubeleriyle sizinkini kýyaslayýn anlarsýnýz;Genel Memnuniyetsizlik
En basiti dün gördüm ki . Hesap hareketleri detayli arama bölümü var ama detaylý arama yapmak istediðimiz zaman çalýþmýyor;Çalýþmýyor - Hata Veriyor
Zayýf kullaným;Kullanýþsýz
Çok yavaþ;Yavaþ
1.hizli giriþ yapýlmýyor.2. ve saire;Yavaþ
Sistem çok aðýr sisteme girmekte çoðu kere zorluk çekiyorum.;Yavaþ
Pek memnun deðilim;Genel Memnuniyetsizlik
Býr kaç kez rastlafýgýmýz eriþilemez o an bir süre beklememiz gerekti bu  iyi olmuyor;Yavaþ
Albafx kapandýktan sonra mobil þubede Gümüþ altýn ve pariteler arasý ons-usd eur-usd gibi arbitraj oranlarý %3.5 a çýkarýlmýþ alamýyoruz satamýyoruz. Diðer katýlým bankalarýnda %0.1 bu oran. Bu yüzden hesabý ilk fýrsatta taþýmayý düþünüyorum. Günlük iþlem limitlerinin 250 bin tl olmasý da bir eksi. Ayrýca bist hisse alým satýmý yok mobil þubede. Yenilik deüiþim yapmazsanýz çok hesap kapatabilir ben dshil.;AlbaFX
Geliþtirebilirsiniz;Fonksiyon Eksikliði
Maaþ müþterisi olmama raðmen bazen eriþim.saglayamiyorum;Çalýþmýyor - Hata Veriyor
Alba fx uygulamasýný kapattýnýz.;AlbaFX
ATM az;ATM
Albaraka mobil þubede þeçenek olarak çok zayýfsýnýz döviz alým satým piyasadan 10 lira makas atýyorsunuz ayrýca diðer bir konu alba fx en zor günlerde müþterilerinizi ortada býrakýyorsunuz.Piyasa biraz hareketlenip tamam iþlem yapacaðým dediðimiz anda hemen makasý açýyorsunuz.Bu yüzden ilk fýrsatta döviz varlýklarýmý devlet bankalarýna aktaracaðým;Kur Marjý
Para transferinde en sonda PIN þifresi istemesi,ikincisi ekran resminin çekilmesine güvenlik nedeniyle izin verilmemesi ki bu iki konu diðer bankalarýn hiç birinde yok.;Aþýrý Güvenlik
"Mobil þube çok yavaþ çalýþmaktadýr 
Diyebilirsinizki telefonunuzla alakalýdýr
Ayný telefon ile baþka mobil banka iþlemleride yapýyorum sizinki ona göre bayaðý yavaþ kalýyor";Yavaþ
Bankayla baðlantý kursam bile iþlem yapamýyorum sistemden kaynaklý olduðunu belirten bir yazý çýkýyor ve telefonda hiçbir þekilde çalýþmaz oluyor;Çalýþmýyor - Hata Veriyor
Mobil þubeden para transferi yapmaya çalýþtýðýmýzda bu iþlem þuan gerçekleþtirilemiyor hatasý alýyorum. Defalarca denememe raðmen ayný gün para gönderim saðlayamadým.;Çalýþmýyor - Hata Veriyor
Fast uygulamaniz uzun suredir hata veriyor ve cozum bulunamiyor;Çalýþmýyor - Hata Veriyor
2 kez þifre istiyor ticaret hýzlý devam ediyor sizyavas;Yavaþ
Karýþýk geldi bana ... Hesaplara hemen ulaþamýyorum... Bir hesaba para gönderdiðim de kayýt edeyim mi diye sormuyor ... HGS iþlemleri için internet þubesine geçiyor birden orasý da daha kötü görünüyor ... Daha fazla kullanmadým bile diðer kýsýmlarý bilmiyorum;Kullanýþsýz
Sistem çok yavaþ;Yavaþ
Sistemi anlayamýyorum;Kullanýþsýz
Çok yavaþ, aradýðým iþlemi bulamýyorum, otomatik ödeme talimatý vermek istiyorum 1 tane yaptým sonrasýnda menüyü bulamýyorum. Zaten gelecek ay bankayý býrakacaðým, bütün talimatlarý iptal edeceðim. Çok yetersiz bir sistem var.;Yavaþ
Diðer ( ayný ) hizmeti veren kurumlardan daha hantal;Yavaþ
Hafta sonlarý EFT ücreti çok fazla;Ücret Alýnmasý
Olasý þifre v.b unutma telefon deðiþtirme gibi sorunlarda çözümü çok kötü;Kullanýþsýz
Kredi kartý borcum bile mesaj olarak gelmiyor. Hesabýma yatan para, maaþ bilgileri gelmiyor. Eskiden daha iyi idi.;Bilgilendirme Eksikliði
Çok yavaþ ve biraz karmaþýk gibi;Yavaþ
Havale iþleminde sistem arýza nedeniyle hemen yapmýyor;Çalýþmýyor - Hata Veriyor
ATM leri çok az;ATM
Çok karýþýk;Kullanýþsýz
ATM’ler para çekme sýkýntý;ATM
