Yorum;Kategori
mobil bankacýlýk iþlemleriniz çoðu zaman sorunlu. Daha önce arayýp düzeltilmesi için þikayet dilekçesi oluþturdum ama mobil bankacýlýk hala çok yavaþ açýlýyor deðiþen bir þey yok.;Mobil
Bilecik sögutte ne bankamatik ne banka var.Bi tane bankamatik kurmak çok mu zor.Uzaktan görüntülü Bi þekilde iþlem yapip hesap acanlara hediye gönderiyorsunuz.Ayaginiza kadar gelen müþteriye hiçbir þey yok.Hediyesinde deðilim ama bi saçmalýk var.;ATM Sayýsý Yetersiz
Sürekli kart yutuyor,para sýkýþtýrýp insanlarý maðdur ediyor;Kartý Yutmasý
Dolar yatýrmak istedim 20 dolarý aldý ATM ama 100 USD yatiramadim. Kabul etmedi;Para Yatýrma Problemi
Gercekten hizmet þartlariniz cok berbat;Genel Memnuniyetsizlik
Çünkü bulunduðum ilçede ptt ile anlaþmanýz var. Hiç kullanamadýk. Bazen karti kabul etmiyor bazen para vermiyor bazen para olmuyor;ATM Sayýsý Yetersiz
Her para yatýrdým da ATM de zorluk çekiyorum ve sýkýþýyor Ýstanbul Baðcýlar Yenimahalle yürüyüþ yolundaki ATM;Çalýþmýyor - Hata Veriyor
Karekodla atmden iþlem yapamýyorum;QR
Banka yoknatm yok her yerde neden tabsiye edeyim ki bende pisman oldm kullanmaya bu bankayi;ATM Sayýsý Yetersiz
Ateme açýklama yapmýyor diyer bankalar gibi;Genel Memnuniyetsizlik
Etrafta yararlanabilinecek atm olmadýðýndan puan vermedim. Albaraka atm sini kullanabilmek için araba ile 15-20 dk yol gitmem gerekli;ATM Sayýsý Yetersiz
Adana da 2 bankaniz var atm bulamiyoruz ve ayrica mobil bankacilikta islem yapacagiz subeye git diyor;ATM Sayýsý Yetersiz
Atmanýz yok denilecek kadar az ve belkide yok;ATM Sayýsý Yetersiz
Hiçbir toleransýnýz yok atmleriniz yok Baska atmlerde cekiyor uz paramýzý kesinti yapýyor;ATM Sayýsý Yetersiz
Ya dün atemeye gitim para çekmeye þifremi girdiðim halde kartýmý yutu;Kartý Yutmasý
Maaþ yattýðý gün ATM ATM geziyorum hiç bir yerde doðru dürüst çalýþan ATM biz yok.ayrica tek seferde 3000 TL bin üzerinde para cekemiyorum kendi maaþýmý bile taksit taksit veriyorsunuz;ATM Sayýsý Yetersiz
Atm sayýsý çok kýsýtlý;ATM Sayýsý Yetersiz
Hiçbir yerde atemeniz. Yok;ATM Sayýsý Yetersiz
ATM 'ler eski, QR kodunu birçok ATM okuyamýyor. Para yatýrma iþlemlerinde mutlaka ama mutlaka tanýmlama krizi yaþatýyor ve iade ediyor. Sevmesem de Yapý Kredi Bankasý ATM 'leri çok iyi...;Eski
Kare kod okumuyor Cevizlibað ATM;QR
"asgari ücret 4250 bu hesaptan 3000 çekebiliriz
Keþke en alt limiti 5000 olsa";Para Çekme Limiti Yetersiz
PTT BANK dýþýnda Muhbir banka ve Ortak ATM'nizin olmamasý;ATM Sayýsý Yetersiz
Zaten az sayýda var ortak noktadan ayda bir kez çekimlerde masraf almayýn;ATM Sayýsý Yetersiz
Laleli bölgesinde çalýþýyorum atmler 100lük usd almýyor ve vermiyor hiç kullanamýyoruz insanlar baþka bankalara yöneliyor hep laleli þubesi ve atmsine çözüm lðtfen;Para Yatýrma Problemi
Pek memnun dilim hic faailiyati yok;Genel Memnuniyetsizlik
Atmleriniz yetersiz konya selçukluda yok mesela varsad uzak insanlarý yogun oldugu yerde yok;ATM Sayýsý Yetersiz
Çünkü bu ilçede bir tane bile Albaraka ATM Su yok;ATM Sayýsý Yetersiz
Yavaþ;Yavaþ
Bu hafta sonu para çekmek için gittim 3 bankanýn atmsi çalýþmadý ayrýca ankarada ikamet ediyorum ve bankamatik sisteminiz çok zayýf ATM sadece bankalarinizda var belirli bölgelerde ATM olmasý gerek;Çalýþmýyor - Hata Veriyor
Kocaeli büyük þehirdir koskaca büyük þehir izmit merkezde 2 tane atm niz var bu sebepten ötürü;ATM Sayýsý Yetersiz
Sistem çok yavaþ;Yavaþ
Ýlçede atemeniz olmadýðý için;ATM Sayýsý Yetersiz
Adapazarý þubedeki müþteri temsilcisi hiç düzgün bilgi vermiyor zorla konuþuyor hiç hoþuma ðitmiyor ciddi degiller;Þube
Koskoca Kayseri’de 3 adet atm var.postane atm lerinde para olmadýðý için para çekemiyoruz.atm sayýsýnýn artmasýný istiyoruz;ATM Sayýsý Yetersiz
Benim oturduðum yerde atmsi  yok;ATM Sayýsý Yetersiz
Atemeleriniz ve özellikle mobil þube çok aðýr girdiðine gireceðine piþmanlýk duyuyorum. Bunlarla alakalý bir önlem almanýzý rica ediyorum.;Yavaþ
Atm leriniz çok az;ATM Sayýsý Yetersiz
Atm sayýnýz çok az ben sultangazi yunus emre mahallesinde otuyorum atm den iþlem yapabilmek için baþka banka hesapý açtým paramý baþka bankaya aktarýp yapýyorum çünkü atmniz hiç yok;ATM Sayýsý Yetersiz
SMS onayý nedir ya;Aþýrý Güvenlik
Diðer baklava göre hiç avantajý ayrýcalýðý yok;Genel Memnuniyetsizlik
Atm yoðunluðu çok az bulmak zor oluyor. Ayrýca atm lerinizden dolar yatýrýldýðý halde yatýrabilmek mümkün deðil. Sistemleri o kadar kötü ki hiçbir dolarý kabul etmiyor. Para yatýrmak için her defasýnda þubeden yatýrmak zorunda kalýyoruz dolar hesaplarý içim;ATM Sayýsý Yetersiz
Konya matbaacýlar subesý atm sý her zaman bozuk oluyor;Çalýþmýyor - Hata Veriyor
1 adet var;ATM Sayýsý Yetersiz
Kisitlý hizmet veriyor;Fonksiyon Eksikliði
Her  ATM den para çekemiyorum ek ücret aliyor;ATM Sayýsý Yetersiz
"Yaptýðým tek þey para çekmek maaþýmý bile tek seferde alamýyorum 
Çalýþtýðým yer sebebiyle her an çýkamýyorum çýktýðýmda USA ATM nizi bulamýyorum tek yer aladdinin orada bulabildim 
Bence yeterli 2 sebep";Para Çekme Limiti Yetersiz
Çünkü yakýn çevrelerde atmler yok ve çekme, yatýrma iþlemlerine ulaþamýyoruz.;ATM Sayýsý Yetersiz
Karýþýk bir sistem;Kullanýþsýz
Koskoca Yalova da sadece 1 tane ATM var.   Diðer bankalarýn olduðu yerlerde Albaraka yok.;ATM Sayýsý Yetersiz
"Batman'da iki tane ATM biz vardýr genel olarak bir tanesinden para çekemiyorum 
Ya kartlý iþlem kabul etmiyor yada TL veremiyor 
PTT ATM lerinden de para çekebiliriz ama PTT ATM zaten çoðunluk para vermiyor";ATM Sayýsý Yetersiz
Fazla yok azlar;ATM Sayýsý Yetersiz
Þube ve ATM olarak çok yetersiz. ATM þubelerinizi bulmak için oldukça mesafe katetmek gerekiyor;ATM Sayýsý Yetersiz
ATM sayýnýz çok az baþka atem kullaným ücreti çok ama çok fazla;ATM Sayýsý Yetersiz
ATM sayýlarý yetersiz;ATM Sayýsý Yetersiz
PTT subelerinden herzaman istediðim hizmeti alamýyorum;PTT
Parami tamçekemedim ve çoküðraþým;Çalýþmýyor - Hata Veriyor
Sayýlarý çok az sýk sýk arýza veriyor;ATM Sayýsý Yetersiz
Kaðýthanede hamidiyede oturuyorum yakýnýmda  atm yok;ATM Sayýsý Yetersiz
Atm yok;ATM Sayýsý Yetersiz
Çoðu zaman çalýþmýyor;Çalýþmýyor - Hata Veriyor
ATM lerin yaygýn olamamasý ve gidince zaten tek olan ATM nýn hizmet verenemesi;ATM Sayýsý Yetersiz
Doðru düzgün ATM leriniz yok tek þubede var PTT atm leri heryerde bulunmadýðý gibi sürekli arýzalý mevcut Albaraka atmleri de aðýr çalýþýyor;ATM Sayýsý Yetersiz
Her yerde bulunmuyor;ATM Sayýsý Yetersiz
ATM de QPR sistemi çalýþmýyor sürekli ATM de sorun yaþýyorum personele sorunca sorumsuzca davranýyor;Çalýþmýyor - Hata Veriyor
Çünkü koskoca þehirde tek Atm var. Yani o puan bile fazla;ATM Sayýsý Yetersiz
PTT atmelerinden para çekeceðim zaman kesinti yapýyor;PTT
Tek çekimde 3000 binden fazla vermiyor;Para Çekme Limiti Yetersiz
"Sistem
Kötü donma çok";Çalýþmýyor - Hata Veriyor
Q kod ile çok zaman para çekemiyorum;Çalýþmýyor - Hata Veriyor
Hiçbir yerde atm'niz yok.Ptt atm de her yerde yok.Para çelmek zulüm.3 gündür nakit param yok.Para çekemiyorum.;ATM Sayýsý Yetersiz
Heryerde yok çoðu PTT ATM cihazýna da para yaptýramýyorum;ATM Sayýsý Yetersiz
Maaþý alýrken hep sms ile alýyoruz ben böyle bý uygulamanýn olmasýný istemiyorum;Aþýrý Güvenlik
Bir ýþýk engelleyici perde yok. Qr kodla iþlem yapamýyorum. Qr kod ýþýk yüzünden okunmuyor. Siirt Merkez þubesi önündeki atm.;QR
Zamanýn çoðu arýzalý yada para yok;Çalýþmýyor - Hata Veriyor
QR kodla para yatýrma iþlemi çalýþmýyor;QR
Sadece 1 ATM var Erzurum da...Ptt ATM leri de,para çekerken zaman zaman ücret alýyor;ATM Sayýsý Yetersiz
Bulunduðum Mardin Artuklu da eski Mardin'de atm biz bulundunmamaktadýr;ATM Sayýsý Yetersiz
Hesap sahýbine sormadan iþlem yapýlmasý;Genel Memnuniyetsizlik
Banka matik yokluðundan;ATM Sayýsý Yetersiz
Koskoca Zeytinburnunda iki tane atmniz bulunuyor;ATM Sayýsý Yetersiz
Atm sayýnýz çok az bulunduðumuz bölgelerde yok;ATM Sayýsý Yetersiz
ATM sayýsý ilimizde 1 adet sýkýntý yaþýyorum;ATM Sayýsý Yetersiz
Bazen atmler para vermiyor zor durumda kalýyorum;Nakit Bulunmuyor
Bir çok ATM'de döviz yatýrma ve döviz çekme iþleminin olmamasý;Para Yatýrma Problemi
Banka maaþ müþterisiyim, hesap kartým birden çok baþvurmama raðmen hala gelmedi, müþteri hizmetlerine çok zor ulaþýyorum;Kart
Çünki ben atemeniz her yerde görmek istiyorum atemenize ulaþmak için baya yol katetmem gerekiyor bütün þubelerin yanýnda sizlerinde atmesini görmekten mutluluk duyarým tek sýkýntým bu iyi günler;ATM Sayýsý Yetersiz
Bulunduðum bölgede hiç ATM yok maalesef kamiltuncaya Bi ATM yapýlýrsa minnettar kalýrýz;ATM Sayýsý Yetersiz
Para cekicem her seferinde telefono gelen mesaj girmek zorundayým zaman kaybý;Aþýrý Güvenlik
Diðer bankalarla anlaþma yapýlmalý, albaraka atm leri çoðalmalý. Sýrf atm bulamadýðým için albaraka yý kullanamýyorum;ATM Sayýsý Yetersiz
"Albaraka için Yeni ve ilk Kullanýcý olarak 
1.Devamlý Þifre Ýþlemleri yüzden insaný Çok meþgul ediyor ve yoruyor Daha Basit ve Güvenli Olabilir.
2.Günlük Nakit Çekim Limiti Çok Düþük.
3.ATM Türkiye Genelinde Yok denilecek Kadar Az.";Para Çekme Limiti Yetersiz
Banka Matik kullaným alanlarý nelerdir;Fonksiyon Eksikliði
Dün Ankara Yenimahalle, Demetevler ve Etlik'te atm bulamadým. 2 avm nin atm noktasýnda da bulamadým ve mecburen ortak atm kullandým. Tabi bunun için ek ücret ödedim. Siz neyin anketini yapýyorsunuz atm yok ortada;ATM Sayýsý Yetersiz
Hiç bir yerde ATM niz yok  para yatýrmak için baya yol katetmek lazim;ATM Sayýsý Yetersiz
Bulundugum bolgede qtm yakinimda yok hep baska bankalardan komisyonla cekiyorum  o yuzden atm ler iyimi kotumu bilmiyorum;ATM Sayýsý Yetersiz
Sistem çok aðýr birde saçma telefon doldurma yýldýzlý yerleri insanlar anlamýyor yapamýyor. Makinalar çok güzel ama;Yavaþ
Ujret kesintisi yapýlýyor 1.45 kesinti oluyor;Ücret Alýnmasý
Atemeden 100 TL çekiyorum herþeyde þifre istiyo bukadar olmaz;Aþýrý Güvenlik
Çok problem yaþadýðým için;Çalýþmýyor - Hata Veriyor
Sistem çok geç ilerliyor;Yavaþ
ATM de iþlem hacmini daha geniþ tutabilirsiniz;Para Çekme Limiti Yetersiz
Bir çok yerde atmniz yok;ATM Sayýsý Yetersiz
"Bakýmsýz.
ATM çok yavaþ çalýþýyor.";Yavaþ
Atm den para transferi yapilamiyor (uskudar sube merkez );Çalýþmýyor - Hata Veriyor
atm yavaþ çalýþýyor;Yavaþ
Yeteridereceatemeyok;ATM Sayýsý Yetersiz
Yaygýn olmmamasý güncel omma;ATM Sayýsý Yetersiz
Yavaþ biraz;Yavaþ
Sürekli para sýkýþýyor sürekli arýzaya geçiyor. Artýk yenilenmesi gerekiyor cihazlarýn. Ayrýca çok fazla güvenlik önlemi var bizim için olduðunu biliyorum ama çok uðraþtýrýyor. Anlaþýlmasý zor bir sisteminiz var güvenlik görevlileri olmasa paramýzý çekemiyoruz özellikle yaþlýlarýmýz bu konuda çok sýkýntý yaþýyorlar.;Çalýþmýyor - Hata Veriyor
Daha pratik bir menü olabilir;Kullanýþsýz
Konya sille yolundaki atm sürekli çalýþmýyor. Ayrýca meram bölgesine bir atm ihtiyacý olduðunu düþünüyorum  meram belediye civarý ,yeniyol civarý nüfus yoðunluðu fazla.;Çalýþmýyor - Hata Veriyor
Uðraþtýrýcý;Kullanýþsýz
Arltm sayisi az;ATM Sayýsý Yetersiz
Halihazýrda kullanmýyorum.fikir veremem;Kullanmýyor veya henüz yeni kullanmaya baþladý
"Limit çok düþük
En az 5000tl olmalý";Para Çekme Limiti Yetersiz
Ateme de ne zaman iþlem yapsam dönüyor paramý el koyuyor;Çalýþmýyor - Hata Veriyor
ATM ye ne zaman gitsem arýzalý..;Çalýþmýyor - Hata Veriyor
Atm'ler çok yaygýn deðil oturduðum semtte yok medrla;ATM Sayýsý Yetersiz
Maaþýmýzj tam çekemiyoruz her çektigimizde para kesiliyo;Ücret Alýnmasý
Kaldýðým ilçede ATM yok Mardin Kýzýltepe;ATM Sayýsý Yetersiz
Sorduðu sorularý çoðu kiþi anlamýyor;Anket Anlaþýlmýyor
PTT ATM sinde para çektiðim zaman ücret kesiyor;PTT
Çok açýk, net yapamýyorum istediklerimi ve en önemlisi bankanýza 2 defa kartýmý kaptýrdým .;Kartý Yutmasý
Az para;Para Çekme Limiti Yetersiz
ATM sayýsýnýn azlýðý;ATM Sayýsý Yetersiz
Bazý atmlerde para ekle yok baya sikinti çekiyoruzpara yatýrýrken  lütfen bütün atmlerde para ekle olmasýný rica ediyorum;Çalýþmýyor - Hata Veriyor
Hiçbir yerde atm yok para çekmek çok zor;ATM Sayýsý Yetersiz
Günlük para çekme limiti çok düþük olduðu;Para Çekme Limiti Yetersiz
ATM ye ulaþma sýkýntýsý. ATM aðýnýzý yaygýnlaþtýrýn ya da ücretsiz faydanýlabilecek daha yaygýn aðý olan bir banka ile anlaþma yapýn;ATM Sayýsý Yetersiz
Çok hassas para beðenmiyor. Tam olarak bugüne kadar hiç para yatýramadým;Para Yatýrma Problemi
"Para çekerken güvenlik sorusu sormasý
Zaten kart þifre var bir daha niye güvenlik sorusu var ki olmadý bir ucuncu bir soru sorsaydiniz";Aþýrý Güvenlik
Limit düþük;Para Çekme Limiti Yetersiz
Yavas;Yavaþ
Bankamatikleriniz yeni gýcýr parayý tanýmýyor, mecburen içeride memur arkadaþlarý rahatsýz ediyoruz.;Para Yatýrma Problemi
Çünkü yeterli derece ATM yok sadece bir þehirde 2 tane;ATM Sayýsý Yetersiz
yavaþsýnýz ve ilgisiz. kaç kere mesaj gönderdim geri dönüþ yok. en son iþlemin kredi kartý baþvurusu. bu kadar mý gecikir cevap.. biraz daha özenli hizmet verseniz keþke. zira deðeriniz zaten paha biçilmez.. hayýrlý iþler, iyi bayramlar cümleten;Yavaþ
Çok  yerde atm yok biraz daha çoðaltila  bilir;ATM Sayýsý Yetersiz
ATM Amasya'da sadece bir yerde var.bu da iletiþim açýsýndan bazan zorllayabiliyor.diðer hususlarda memnunum;ATM Sayýsý Yetersiz
Atm hizmetleriniz çok kýsýtlý;ATM Sayýsý Yetersiz
Atemeler çok yavas;Yavaþ
Þehirlerde yetersiz ATM;ATM Sayýsý Yetersiz
her yerde atm yok sadece þube önlerinde mevcut;ATM Sayýsý Yetersiz
"Albarakayý seviyorum
ATM den para çekmek problemli banka kartým eþimde eþim para çekerken benim telefona þifre geliyor bana ulaþamassa para çekemiyor bu sorunun çözülmesini istiyorum gereksiz bir iþlem diger bankalarda yok böyle";Aþýrý Güvenlik
Çok az YERDE ATM VAR;ATM Sayýsý Yetersiz
Sistem çok geç aciliyor;Yavaþ
Fazla bir yerde yok.;ATM Sayýsý Yetersiz
Bu puaný verme sebebi Albaraka Türk ATM’lerinin çok az olmasý. Bulunduðum lokasyona en yakýn ATM 2 km.;ATM Sayýsý Yetersiz
ATM sadece banka önündeolduðu için;ATM Sayýsý Yetersiz
Banka ve atm süper ama yaygýn deðil sayýsý az.Para çekmek istediðimizde sýkýntý yaþýyoruz.Bankamatik azlýðý harici Albaraka çok iyi bir banka.;ATM Sayýsý Yetersiz
Hafta sonu ATM de para olmadýðý için PTT aramak zorunda kaldým.;Nakit Bulunmuyor
Çok yavaþ ve gereksiz sorular çýkýyor;Yavaþ
Para tarama iþleminde baþka bir bankadan aldýðým parayý atm ye yatýramýyorum birkýsmýný tanýmýyor geri veriyor ayný parayý baþkabir banka atm sine rahatlýkla yatýrabiliyorum bunun haricinde puanýnýz 10 tam puan olurdu;Para Yatýrma Problemi
Hiçbir yerde ATM'niz yok. Hiç deðilse Katýlým bankalarý ile ortak KATILIM ATM çýkarabilirsiniz.;ATM Sayýsý Yetersiz
Doviz yatirma ve cekme opsiyonu yok.;Para Yatýrma Problemi
Sistem çok hantal;Kullanýþsýz
ATM daha hýzlý olabilir çok yavaþ çalýþýyor;Yavaþ
Parayý tanýmlama konusunda oldukça vasat. Devamlý iade ediyor bilhassa yeni basýlmýþ banknotlarý. Para yatýrma iþlemi gerçekleþtikten sonra ATM kartýmý iade etmeden önce parayý sayýp istifleme iþini bekletmesi büyük handikap. Zaten parayý tanýmlayýp almýþsýn beni bekletmene gerek yok. Zira Ptt atm’sinden ayný iþlemi yaparken kartýmý anýnda iade edip istifleme iþini sonra kendisi yapýyor makine. Teþekkürler;Para Yatýrma Problemi
Çünkü Dolar yatýrma iþleriminde sýkýntý oluyor;Para Yatýrma Problemi
Her yerde atm niz yok artý olarak diðer bankalara göre daha sýk arýza veriyor;ATM Sayýsý Yetersiz
Çoðu zaman paralarý kabul etmiyor, tekrar tekrar deneme sonucu ancak kabul ediyor banknotlari;Para Yatýrma Problemi
"QR kodu ile para çekmek, güneþli günde çok uðraþtýrýyor. Gölgelik ile çözülebilir.
Ayrýca diðer bankalarda o bankaya ait kredi kartýný Bile ATMye taktýðýmýzda bize banka kart hesabýna yönlendirip oradan da para çekme imkaný veriyor. Bu iki konuda Albaraka ATMlerini yetersiz gördüm.";QR
Albaraka atmlerine kolay ulaþýlamama;ATM Sayýsý Yetersiz
Albaraka ATM lerinde döviz ve kýymetli madenler alým satým iþlemleri olmasý daha faydalý olacaktýr;Para Yatýrma Problemi
Günlük nakit çekim  limiti  5.000 tl olmalý.;Para Çekme Limiti Yetersiz
Günlük limiti düþük;Para Çekme Limiti Yetersiz
Sacma bir sisteminiz var kart ile cekimlerde sms onayi veya diger bilgileri sormasi acil olan cekim islemini geciktirmesi;Aþýrý Güvenlik
ATM aðý yaygýn deðil az ATM var diðer bankalarýn ATM aðý yaygýn sizin gibi büyük banka daha çok ATM;ATM Sayýsý Yetersiz
Biraz daha geliþtirilmiþ olabilir;Fonksiyon Eksikliði
Çok az yerde var;ATM Sayýsý Yetersiz
Adet yetersizliði;ATM Sayýsý Yetersiz
Az atm olmasý;ATM Sayýsý Yetersiz
Atm hýzlý deyýl;Yavaþ
Gunluk Limit az ve her iþlemde þifre istemesi;Para Çekme Limiti Yetersiz
PTT banka matiginizden bugün para çekmek istedim vermedi;PTT
Az ATM var PTT olmasa çok az;ATM Sayýsý Yetersiz
Pratiklik yok uðraþtýrýyor;Kullanýþsýz
Olduðum ilçede tek atm var;ATM Sayýsý Yetersiz
ATM Ler yetersiz sayida;ATM Sayýsý Yetersiz
Bankamatik yetersizliði;ATM Sayýsý Yetersiz
Para çekmek ne kadar zor. Kartý takýyorsun þifre giriyorsun yetmiyor;Kullanýþsýz
Online hizmetleriniz mobil hizmetleriniz hiç baþarýlý.degil donuyor atm de buna keza;Kullanýþsýz
Geliþmesi lazým;Fonksiyon Eksikliði
ATM den istediðim rakamda para çekemiyorum kesinti yapiyo;Para Çekme Limiti Yetersiz
Otomatik ödemede otomatik ödeme talimatlarý tutarý gözükmemektedir þubeye söyledim müþteri hizmetlerine söyledim sonuç sýfýr;Ýlgisizlik
Hemen paraný çekip atm'den gidemiyorsun çünkü parayý verene kadar bir süre bilgi doldurtturuluyor;Kullanýþsýz
Atm sayýsýnýn azlýðý;ATM Sayýsý Yetersiz
ATM para çekim limitini artirin;Para Çekme Limiti Yetersiz
Atemeniz yok tokatta;ATM Sayýsý Yetersiz
ATM leriniz çok yetersiz. Ýstanbul ilçelerinde çok az ATM miz var. Sayýyý artýrmanýz daha iyi olacaktýr;ATM Sayýsý Yetersiz
Çok daha hýzlý olabilir;Yavaþ
Bankamatik ler çok yavaþ çalýþýyor;Yavaþ
Atm sayýsý az;ATM Sayýsý Yetersiz
Konya Merkez gibi bir konumda ATM  yok denecek kadar;ATM Sayýsý Yetersiz
Yeterince atme yok;ATM Sayýsý Yetersiz
ATM yaygýn degil;ATM Sayýsý Yetersiz
Huawei p40 lite telefonum var QR okuyor ama konum açýn hatasý veriyor heryer le görüþtüm kimse çözemedi asla böyle bir sistem hatasý göremedim;QR
atemelerden para kesintisi çok oluyor baþka bankalardan hizmet alamýyoruz;Ücret Alýnmasý
Sebebim atm deðil. Kredi kartý baþvurumu red ettiðiniz için..;Kart
Ýyi çalýþmýyosunuZ;Genel Memnuniyetsizlik
Gereksiz sorgulama;Kullanýþsýz
ATM sayýsý yetersiz;ATM Sayýsý Yetersiz
Atemelerdeki yazýlar labirent gibi bir Ýngilizce yazý yazýyor bir Arapça yazý yazýyor burasý neresi kardeþim atemelerin çoðu sýkýntýlý;Kullanýþsýz
ATM sayýsý çok az;ATM Sayýsý Yetersiz
ATM sayýsýnýn yetersiz olmasý;ATM Sayýsý Yetersiz
yayýn atm aðýnýz olmadigindan;ATM Sayýsý Yetersiz
Atm çok aðýr çalýþýyor, barkodu geç okuyor;ATM Sayýsý Yetersiz
Ortak ATM sayýsý artýrýlmalý;ATM Sayýsý Yetersiz
Bankamatik kartý temassýz deðil ve atm þubeleriniz çok az;ATM Sayýsý Yetersiz
ATM sayýnýz çok kýsýtlý farklý banka ATM leri kullanmak zorunda kalýyorum;ATM Sayýsý Yetersiz
Mobil bankaciliginiz açýlýrken ve þifreyi girdikten sonra çok aðýr açýlýyor.Guncelleme gerekli;Mobil
ATM çok yavaþ ilerliyor;Yavaþ
Onur etimler daha kolay dün para çektim þifre istedi;Aþýrý Güvenlik
Bulunduðum bölgede ATM yok acil ATM bekliyorum;ATM Sayýsý Yetersiz
Atm de parayi cok hirpaliyor ve sýk atmleriniz yok;ATM Sayýsý Yetersiz
ATM de para yatýrmak iþkence.Parayý baþka ATM den çekiyorum sizin ATM ayný parayý tanýmýyor.;Kullanýþsýz
